,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
144,838,2018-19,Maharashtra,WR,28650.320742,15274.24317,9895.772406,39729.454529309,1991.57164082,3070.354572,34616.34,2851.107892,3408.757603,139487.92255513
145,839,2018-19,Daman & Diu,WR,132.580103,51.301433,197.461326,2022.776751,8.2408540000000,0,4.831192,3.672964,11.070133,2431.9347560000
146,840,2018-19,D & N Haveli,WR,122.16,34.2,216.07,5674.857,5.8,0,7.23,6.24,3.43,6069.9869999999
147,841,2018-19,Goa,WR,1152.05,541.73,131.3796,2193.620295,2.66,0,26.37,0,55.85,4103.659895
148,842,2018-19,Andhra Pradesh,SR,14201.57076806,4724.6147332407,5332.6705768333,21097.829077686,553.727858,1534.807538,12838.592301233,579.519623,2478.3555903519,63341.688066405
149,835,2018-19,Chhattisgarh,WR,5214.973106,1482.138643,539.858344,31035.829246999,94.489999999999,983.480953,5038.43,360.247728,0,44749.448020999
150,834,2018-19,Uttarakhand,NR,2823.7769506,1269.45401993,311.28287964,6985.37460609,59.03333863,26.81,450.18784431,378.24210535,190.75806,12494.91980455
151,833,2018-19,Uttar Pradesh,NR,39524.487762,6501.0466499999,4293.007974,25043.00121915,938.790583,2231,17362.025791,1741.768121,4100.1118609999,101735.23996115
152,832,2018-19,Rajasthan,NR,12506.429495,4863.1205,3149.573495,20580.101421599,353.583495,406.95,23300.35251,1952.336495,692.898,67805.345411599
153,831,2018-19,Punjab,NR,14163.8,3675.12,2909.5,16321.8132556,157.83,228.48,11268.38,823.9,2815.27,52364.0932556
154,830,2018-19,Jammu & Kashmir,NR,4013.45,1263.4,601.41301146,1259.772286,59.32,23.17,349,701,1366,9636.5252974600
155,829,2018-19,Himachal Pradesh,NR,2080.474,614.562,207.583,5250.5064658,10.365,0,62.983,565.729,372.095,9164.2974657999
156,828,2018-19,Haryana,NR,9623.2611149999,4547.9357005999,1831.470223,15431.04690654,232.056703,409.827,9714.294559,1024.628161,1262.7917,44077.31206814
157,827,2018-19,Delhi,NR,15430.53724042,7702.830999325,3051.588087634,392.459094969,366.454103951,499.593474,33.426294995,386.331674508,1307.7656550829,29170.986624884
158,826,2018-19,Chandigarh,NR,704.67,472.98,125.15,135.456138,15.09,0,1.36,(B),80.930000000000,1535.636138
159,843,2018-19,Telangana,SR,11422.322618870,5749.9970414539,1243.4753462102,15896.326111337,365.48660147910,725.969036,24077.042333485,604.00024637230,1555.4550378947,61640.074373104
160,844,2018-19,Karnataka,SR,12954.19230214,6553.6826367,2495.0911792900,24613.791127003,1092.407835,99.903313999999,22788.19086246,3903.2891038,799.93860599999,75300.486966393
161,861,2018-19,Tripura,NER,524.75,86.150000000000,28.97,27.198675000000,41.98,0,40.67364925,88.166,117.8,955.68832424999
162,860,2018-19,Nagaland,NER,380.43,97.56,67.069999999999,0,14.87,0,0,10.3772,108.829,679.13619999999
163,859,2018-19,Mizoram,NER,244.615902,61.038302,2.385504,11.967055,2.674921,0,0,68.575303000000,16.500923,407.75791
164,858,2018-19,Meghalaya,NER,442.664,93.3,9.435,568.833395,0.2,0,0.127,40.811,94.595999999999,1249.966395
165,857,2018-19,Manipur,NER,376.78,66.14,20.86,9.0399999999999,9.8900000000000,0,2.12,21.18,106.77,612.78
166,856,2018-19,Assam,NER,3677.5007089978,1096.9491782126,112.22542917627,2919.0856280847,15.973869809642,0,46.714788662020,86.162889114582,702.98392805327,8657.5964201110
167,855,2018-19,Arunachal Pradesh,NER,185.719187,51.018432,4.3784610863880,116.50121396033,10.119287,0,0.030427,0,78.776335,446.54334304671
168,854,2018-19,A & N Islands,ER,133.864789,60.290483,20.986866,0,6.71658,0,1.023458,0,31.793074,254.67525
169,853,2018-19,Sikkim,ER,107.46,40.91,4.89,197.67,0.25,0,0,0,29.63,380.80999999999
170,852,2018-19,West Bengal,ER,15478.098523,6280.3712025999,2279.4499842092,18887.254772427,692.959853,1467.9399668,1515.551,955.56959294562,2642.163929,50199.358823982
171,845,2018-19,Kerala,SR,10927.005323,2455.893823,1186.047008,4206.0543053029,381.21377999999,321.071991,348.667269,0.16,2456.76939,22282.882889302
172,846,2018-19,Tamil Nadu,SR,26996.338,10281.762,8600.2560000000,33001.135373646,1140.8885,903.4,13077.16,1140.8885,3115.194,98257.022373646
173,848,2018-19,Lakshadweep,SR,35.965037,11.780381,0.384575,0,0.667293,0,0,0,0.108437,48.905723
174,847,2018-19,Puducherry,SR,723.629,212.845,159.59,1613.29624414,27.58,0,59.97,0,19.294,2816.20424414
175,849,2018-19,Bihar,ER,11505.49,2067.82,553.88,2923.798,62.15,1248.97,726.70999999999,104.77,2004.21,21197.798
176,850,2018-19,Jharkhand,ER,5683.378059,808.8274534,273.4581488,18482.873757407,110.326327,757.83,210.359083,0,487.7454,26814.798228607
